Date,2015 Bar Earnings,Day,2016 Bar Earnings,Day2,2017 Bar Earnings,Day3,Weather,Events/Specials/Notes
6/10,2387.66,Wednesday,1684.65,Friday,,Saturday,,Happy Hour
6/11,2061.93,Thursday,903.87,Saturday,,Sunday,,Happy Hour
6/12,1928.2,Friday,307.76,Sunday,,Monday,,Happy Hour
6/13,1275.99,Saturday,1042.83,Monday,,Tuesday,,Happy Hour
6/14,760.41,Sunday,1361.29,Tuesday,,Wednesday,,CopaAmerical 1/2 off Guac + Happy Hour
6/15,CLOSED,Monday,1569.56,Wednesday,,Thursday,,Happy Hour
6/16,873.48,Tuesday,1906.1,Thursday,,Friday,,Happy Hour
6/17,1160.63,Wednesday,3269.84,Friday,,Saturday,,Billy Joel $5 Wine till 8PM - Happy Hour
6/18,419.38,Thursday,2708.3,Saturday,,Sunday,,The Cure $5 Love shot - $7 Tito's Special - Happy Hour
6/19,2772.47,Friday,1173.84,Sunday,,Monday,,Sangria Sunday - Happy Hour
6/20,1557.14,Saturday,1708.03,Monday,,Tuesday,,Happy Hour
6/21,1039.93,Sunday,1750.08,Tuesday,,Wednesday,,"Celebrating Macklemore & Ryan Lewis ""$7 Thrift Shop Lemonade"""
6/22,1165.52,Monday,2184.06,Wednesday,,Thursday,,CopaAmerical 1/2 off Guac + Happy Hour
6/23,198.64,Tuesday,3266.84,Thursday,,Friday,,$8 Strawberry Mojitos
6/24,2035.65,Wednesday,2243.07,Friday,,Saturday,,$8 Strawberry Mojitos
6/25,1110.11,Thursday,2182.46,Saturday,,Sunday,,All Day $10 Lynchburg Lemonade
6/26,1566.75,Friday,2011.7,Sunday,,Monday,,All Day $10 Lynchburg Lemonade
6/27,0,Saturday,1471.52,Monday,,Tuesday,,Happy Hour
6/28,1097.05,Sunday,1632.48,Tuesday,,Wednesday,,
6/29,1565.64,Monday,1423.96,Wednesday,,Thursday,,
6/30,917.07,Tuesday,2959.41,Thursday,,Friday,,
7/1,2551.16,Wednesday,261.65,Friday,,Saturday,,Happy Hour & $8 Wine
7/2,988.25,Thursday,1086.27,Saturday,,Sunday,,Happy Hour & $8 Wine
7/3,483.11,Friday,960.12,Sunday,,Monday,,"$45 Carafe of Sangria & Salsa ""Sangria and Salsa Sundays"""
7/4,1410.68,Saturday,4309.69,Monday,,Tuesday,,4th of July Event
7/5,242.62,Sunday,579.08,Tuesday,,Wednesday,,Happy Hour & $8 Wine
7/6,451.13,Monday,1761.76,Wednesday,,Thursday,,Draft Beer + Salsa $10 / 7 to Close
7/7,969.5,Tuesday,1361.43,Thursday,,Friday,,"Dirty Thursday Lemonade, $10 Sangria All Day"
7/8,1014.41,Wednesday,1301.82,Friday,,Saturday,,Happy Hour & $8 Wine
7/9,1013.62,Thursday,1325.22,Saturday,,Sunday,,Happy Hour & $8 Wine
7/10,1300.47,Friday,868.66,Sunday,,Monday,,"$45 Carafe of Sangria & Salsa ""Sangria and Salsa Sundays"""
7/11,2607.37,Saturday,1970.64,Monday,,Tuesday,,Margarita Monday $9 All Day
7/12,698.34,Sunday,2207.13,Tuesday,,Wednesday,,Happy Hour & $8 Wine
7/13,Closed,Monday,1784.71,Wednesday,,Thursday,,Draft Beer + Salsa $10 / 7 to Close
